Comment ID,Positive,Negative,Neutral,Compound
c1t6be2,0.095,0.06,0.845,0.3291
c1t2igf,0.388,0.0,0.612,0.6908
c1tmbxs,0.225,0.0,0.775,0.4404
c1tcczm,0.28,0.089,0.632,0.6406
c1t2i50,0.0,0.18,0.82,-0.2942
c1t3dnb,0.075,0.185,0.741,-0.9611
c1t4my6,0.163,0.149,0.688,-0.1298
c1t4ujs,0.44,0.0,0.56,0.6705
c1tmkn3,0.167,0.0,0.833,0.4588
c1t6g6v,0.245,0.241,0.514,-0.204
c1t4mee,0.0,0.458,0.542,-0.8519
c1t5y32,0.0,0.066,0.934,-0.0516
c1u9ktr,0.048,0.139,0.813,-0.9772
c1u9per,0.0,0.0,1.0,0.0
c1uasgn,0.0,0.0,1.0,0.0
c1uae3e,0.225,0.044,0.731,0.871
c1u9oz2,0.123,0.105,0.771,0.1523
c1uag2y,0.144,0.093,0.763,0.6183
c1uasjn,0.219,0.069,0.712,0.9525
c1ub6pu,0.086,0.083,0.83,0.048
c1u9jwp,0.0,0.0,1.0,0.0
c1ue96j,0.198,0.052,0.75,0.9512
c1u9n80,0.157,0.143,0.7,0.4399
c1uaex1,0.264,0.145,0.591,0.8057
c1ubq9r,0.098,0.029,0.873,0.784
c1uk8mu,0.166,0.214,0.621,-0.1779
c1ubowo,0.117,0.089,0.794,0.5549
c1udbuk,0.0,0.099,0.901,-0.5256
c1ub33a,0.2,0.124,0.676,0.6022
c1uccww,0.158,0.0,0.842,0.8439
c1ulo88,0.297,0.0,0.703,0.9625
c1u9q55,0.249,0.058,0.692,0.9957
c1u9lqw,0.028,0.092,0.881,-0.5719
c1uh0h5,0.133,0.095,0.772,0.3384
c1u9lxs,1.0,0.0,0.0,0.2732
c1ua1bt,0.259,0.0,0.741,0.6369
c1ubt8v,0.185,0.07,0.746,0.8945
c1uc8tb,0.146,0.0,0.854,0.8779
c1ubt02,0.0,0.095,0.905,-0.2732
c1uin6o,0.0,0.0,1.0,0.0
c1ubdza,0.087,0.0,0.913,0.3182
c1uaioj,0.133,0.0,0.867,0.6705
c1uarlo,0.0,0.14,0.86,-0.4767
c1uce61,0.3,0.0,0.7,0.7419
c1uauk4,0.245,0.0,0.755,0.9396
c1ucqg6,0.11,0.141,0.749,-0.1962
c1ubqwx,0.0,0.28,0.72,-0.765
c1u9usd,0.0,0.136,0.864,-0.5499
c1u9m7b,0.082,0.307,0.611,-0.7476
c1u9o7m,0.137,0.108,0.755,0.5416
c1ucszl,0.1,0.041,0.859,0.5216
c1uabhg,0.0,0.0,1.0,0.0
c1ubag5,0.0,0.085,0.915,-0.2617
c1ubwqm,0.15,0.058,0.792,0.5103
c1ubtum,0.0,0.0,1.0,0.0
c1ucmfp,0.052,0.137,0.811,-0.6249
c1ubsf3,0.0,0.239,0.761,-0.5267
c1uameu,0.0,0.0,1.0,0.0
c1ua8tj,0.145,0.0,0.855,0.2584
c1uch3b,0.0,0.0,1.0,0.0
c1u9mi4,0.178,0.0,0.822,0.6597
c1udemx,0.15,0.0,0.85,0.4019
c1uc982,0.238,0.036,0.726,0.8716
c1ulnbv,0.102,0.0,0.898,0.3612
c1uvt9d,0.091,0.027,0.882,0.8668
c1uc3da,0.0,0.0,1.0,0.0
c1uvthq,0.0,0.0,1.0,0.0
c1ul4sv,0.143,0.068,0.789,0.7203
c1ucsc1,0.072,0.055,0.873,0.1939
c1uarlg,0.321,0.0,0.679,0.7311
c1uau9i,0.116,0.092,0.792,0.1072
c1ucmpb,0.061,0.052,0.886,0.0992
c1ucgp5,0.297,0.0,0.703,0.5859
c1ucy78,0.075,0.0,0.925,0.296
c1uam5u,0.058,0.142,0.8,-0.4201
c1uaebo,0.0,0.0,1.0,0.0
c1ujiun,0.182,0.209,0.608,-0.1027
c1u9v86,0.095,0.0,0.905,0.296
c1uaj1u,0.0,0.16,0.84,-0.8354
c1ucwvc,0.118,0.086,0.796,0.3565
c1uapro,0.135,0.088,0.777,0.1018
c1ucps1,0.093,0.213,0.694,-0.7286
c1uddi0,0.086,0.084,0.83,0.0534
c1uajir,0.138,0.0,0.862,0.6365
c1uc8ev,0.176,0.152,0.672,-0.2606
c1uf1h2,0.265,0.0,0.735,0.888
c1ucn46,0.0,0.0,1.0,0.0
c1uw5af,0.056,0.08,0.864,-0.367
c1ucect,0.124,0.0,0.876,0.4767
c1uvtdz,0.204,0.0,0.796,0.3182
c1uvugv,0.099,0.0,0.901,0.1655
c1uavg9,0.359,0.0,0.641,0.4215
c1ud4vd,0.078,0.112,0.81,-0.4939
c1ubbok,0.188,0.212,0.599,-0.0721
c1uatsg,0.424,0.0,0.576,0.5684
c1uk1n2,0.367,0.0,0.633,0.4404
c1ubbpr,0.0,0.293,0.707,-0.3595
c1uar0h,0.481,0.0,0.519,0.6767
c1uauxx,0.238,0.048,0.713,0.9199
c1ubu9a,0.163,0.132,0.705,0.4588
c1ucuns,0.0,0.0,1.0,0.0
c1uf871,0.149,0.0,0.851,0.4215
c1uk6ll,0.0,0.0,1.0,0.0
c1uir77,0.0,0.238,0.762,-0.3612
c1udq2f,0.031,0.288,0.68,-0.8807
c1uax9o,0.0,0.0,1.0,0.0
c1uc4ws,0.071,0.057,0.872,0.2691
c1ubuh3,0.315,0.0,0.685,0.5562
c1uav2b,0.0,0.0,1.0,0.0
c1uazux,1.0,0.0,0.0,0.658
c1ukh3z,0.103,0.358,0.54,-0.5758
c1ucqay,1.0,0.0,0.0,0.296
c1ucq93,0.105,0.08,0.814,0.1503
c1ucggy,0.124,0.158,0.717,-0.1083
c1udfzh,0.688,0.0,0.312,0.296
c1ulnwr,0.0,1.0,0.0,-0.1779
c1ukxs0,0.158,0.175,0.667,-0.1604
c1ug3pd,0.0,0.0,1.0,0.0
c1ul9bp,0.068,0.033,0.898,0.2803
c1ul1u0,0.053,0.198,0.75,-0.6386
c1wqz8i,0.244,0.048,0.708,0.9612
c1wqpuv,0.0,0.0,1.0,0.0
c1wqv20,0.081,0.042,0.878,0.358
c1wuoxy,0.211,0.0,0.789,0.6124
c1wveed,0.265,0.0,0.735,0.6893
c1wr775,0.147,0.045,0.808,0.6022
c1wrjri,0.0,0.0,1.0,0.0
c1wqr7v,0.0,0.443,0.557,-0.8847
c1wrrhv,0.119,0.128,0.752,-0.0516
c1wvyao,0.064,0.077,0.858,-0.5541
c1wt0jb,0.173,0.0,0.827,0.9186
c1wryk4,0.136,0.08,0.783,0.7425
c1wu8tf,0.0,0.167,0.833,-0.25
c1wrh4y,0.022,0.199,0.779,-0.9239
c1wr224,0.239,0.0,0.761,0.9299
c1wzrr8,0.055,0.161,0.784,-0.6331
c1wr93r,0.443,0.328,0.229,0.128
c1wqvmp,0.093,0.274,0.633,-0.6486
c1wqzdj,0.149,0.041,0.809,0.8555
c1x2ivs,0.125,0.045,0.83,0.9709
c1wres4,0.136,0.0,0.864,0.7096
c1wrlbi,0.0,0.0,1.0,0.0
c1wqrsi,0.0,0.0,1.0,0.0
c1wx7rm,0.162,0.165,0.673,-0.0387
c1wy43w,0.0,0.133,0.867,-0.9455
c1wu6ly,0.087,0.062,0.851,0.7395
c1ws083,0.144,0.076,0.78,0.3389
c1wu93z,0.127,0.065,0.809,0.8225
c1wsyiy,0.202,0.036,0.762,0.989
c1wrm2v,0.095,0.018,0.887,0.7814
c1wr90x,0.0,0.327,0.673,-0.8804
c1wy327,0.116,0.0,0.884,0.2732
c1wrmhg,0.302,0.281,0.417,0.0516
c1wr8ro,0.095,0.103,0.802,-0.0516
c1wsaq8,0.4,0.277,0.323,0.2263
c1wr6m5,0.0,0.0,1.0,0.0
c1wrmgj,0.11,0.251,0.639,-0.8442
c1wt68t,0.225,0.094,0.681,0.4754
c1ws7i2,0.114,0.25,0.636,-0.4588
c1wqrzr,0.0,0.3,0.7,-0.4588
c1ws14p,0.0,0.0,1.0,0.0
c1wy2sh,0.126,0.126,0.748,-0.2484
c1xjhgb,0.0,0.0,1.0,0.0
c1wt72m,0.316,0.224,0.46,0.1531
c1wrefq,0.074,0.084,0.842,-0.0985
c1ws9pa,0.0,0.0,1.0,0.0
c1wsnx3,0.188,0.105,0.707,0.4478
c1wt471,0.336,0.0,0.664,0.994
c1wqsq9,0.278,0.0,0.722,0.5927
c1wspzq,0.072,0.123,0.805,-0.3182
c1wz0wi,0.104,0.0,0.896,0.2975
c1wrfbi,0.08,0.091,0.829,-0.0985
c1wved2,0.042,0.0,0.958,0.2023
c1wz19y,0.243,0.0,0.757,0.7506
c1ws0l5,0.126,0.079,0.794,0.1496
c1wvf96,0.0,0.116,0.884,-0.2411
c1ws700,0.0,0.0,1.0,0.0
c1wuclt,0.242,0.0,0.758,0.4939
c1y0usx,0.213,0.162,0.624,0.3016
c1y17nw,0.272,0.067,0.661,0.9952
c1y0czm,0.049,0.228,0.723,-0.8658
c1y17wj,0.254,0.067,0.679,0.9211
c1y454z,0.123,0.073,0.804,0.9137
c1y1a6b,0.17,0.019,0.811,0.9795
c1y05vr,0.117,0.296,0.587,-0.6584
c1y0a9y,0.315,0.081,0.604,0.8561
c1y1o6b,0.031,0.138,0.832,-0.7432
c1y0qd4,0.0,0.0,1.0,0.0
c1y2j38,0.107,0.039,0.854,0.3612
c1y43jo,0.0,0.0,1.0,0.0
c1y389i,0.169,0.163,0.667,-0.7518
c1y3ydg,0.103,0.136,0.76,-0.6625
c1y1nfq,0.163,0.069,0.768,0.9398
c1y0oxw,0.0,0.0,1.0,0.0
c1y16cz,0.556,0.0,0.444,0.3612
c1y12ht,0.083,0.06,0.857,0.2484
